Date,Prev_Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable_Volume,Perc_Deliverable,Year_N
28-10-2004,1139.9,1145,1174.8,1145,1165.95,1164.97,2323927,2.71E+14,991023,0.4264,1
29-10-2004,1165.95,1167.95,1167.95,1145.15,1156.25,1155.14,1082722,1.25E+14,439476,0.4059,1
01-11-2004,1156.25,1150,1174.45,1142.3,1170.65,1162.17,767196,8.92E+13,186885,0.2436,1
02-11-2004,1170.65,1130,1179.75,1125,1159.7,1163.79,1108005,1.29E+14,307235,0.2773,1
03-11-2004,1159.7,1161,1184,1161,1175.2,1175.35,1122267,1.32E+14,209505,0.1867,1
04-11-2004,1175.2,1181.75,1187.9,1167.7,1170.4,1177.48,819476,9.65E+13,267486,0.3264,1
05-11-2004,1170.4,1173.95,1180,1160,1165.45,1165.94,627981,7.32E+13,175100,0.2788,1
08-11-2004,1165.45,1165,1188.9,1156,1184.15,1179.43,1286466,1.52E+14,514975,0.4003,1
09-11-2004,1184.15,1187,1197.9,1177,1188.4,1189.42,917339,1.09E+14,192533,0.2099,1
10-11-2004,1188.4,1191,1199,1190.1,1194.35,1195.19,716799,8.57E+13,200583,0.2798,1
11-11-2004,1194.35,1199,1203.4,1191.1,1196.25,1198.35,654391,7.84E+13,195824,0.2992,1
12-11-2004,1196.25,1204,1208,1190.2,1196.75,1199.8,226676,2.72E+13,84942,0.3747,1
16-11-2004,1196.75,1198,1198,1184,1190.9,1190.54,500688,5.96E+13,200759,0.401,1
17-11-2004,1190.9,1191.5,1209.9,1191.5,1205.4,1204.98,683492,8.24E+13,199449,0.2918,1
18-11-2004,1205.4,1209.45,1234.55,1206.5,1231,1219.15,934016,1.14E+14,352646,0.3776,1
19-11-2004,1231,1233,1237,1211.1,1217.1,1225.63,851595,1.04E+14,243071,0.2854,1
22-11-2004,1217.1,1207.8,1226,1195,1222.45,1215.46,592284,7.20E+13,180192,0.3042,1
23-11-2004,1222.45,1230.6,1242,1224.15,1235.55,1234.43,539099,6.65E+13,147765,0.2741,1
24-11-2004,1235.55,1239,1245,1230.15,1233.9,1239.03,402913,4.99E+13,119968,0.2978,1
25-11-2004,1233.9,1234,1244,1208.65,1216.85,1226.43,788859,9.67E+13,359847,0.4562,1
29-11-2004,1216.85,1216,1247.7,1205.55,1243.9,1232.02,660186,8.13E+13,278261,0.4215,1
30-11-2004,1243.9,1248.15,1286,1245,1274.65,1262.54,1313518,1.66E+14,613859,0.4673,1
01-12-2004,1274.65,1281,1281,1257,1261.55,1265.85,1060233,1.34E+14,378075,0.3566,1
02-12-2004,1261.55,1265,1277,1239.1,1242.6,1251.09,1207213,1.51E+14,633037,0.5244,1
03-12-2004,1242.6,1249.25,1255.9,1221.55,1236.75,1238.65,1222152,1.51E+14,452439,0.3702,1
06-12-2004,1236.75,1240,1250,1208.5,1214.55,1223.01,1434234,1.75E+14,559591,0.3902,1
07-12-2004,1214.55,1216,1232.9,1215,1218.25,1223.17,982903,1.20E+14,281442,0.2863,1
08-12-2004,1218.25,1218,1226.6,1196.05,1200.8,1211.7,916176,1.11E+14,419371,0.4577,1
09-12-2004,1200.8,1204.95,1217,1204.85,1211.45,1211.53,475153,5.76E+13,136353,0.287,1
10-12-2004,1211.45,1220,1235.5,1214,1225.65,1226.59,777101,9.53E+13,276141,0.3553,1
13-12-2004,1225.65,1226,1241.65,1225.25,1236.15,1234.6,624529,7.71E+13,242910,0.3889,1
14-12-2004,1236.15,1242,1244.7,1230.3,1233.15,1236.8,385438,4.77E+13,198014,0.5137,1
15-12-2004,1233.15,1244,1254.75,1238,1245.5,1247.49,721584,9.00E+13,321609,0.4457,1
16-12-2004,1245.5,1248.45,1265,1238,1262.65,1252.68,543808,6.81E+13,205892,0.3786,1
17-12-2004,1262.65,1260,1274.8,1252.1,1256.5,1263.88,688719,8.70E+13,251583,0.3653,1
20-12-2004,1256.5,1260,1268.5,1256.5,1262.55,1262.44,283553,3.58E+13,94524,0.3334,1
21-12-2004,1262.55,1264.95,1277,1263.15,1272.7,1270.5,432314,5.49E+13,196779,0.4552,1
22-12-2004,1272.7,1275.1,1275.1,1230,1240.15,1246.05,750214,9.35E+13,193989,0.2586,1
23-12-2004,1240.15,1247.7,1247.7,1225,1227.85,1235.08,493614,6.10E+13,219950,0.4456,1
24-12-2004,1227.85,1232.95,1272,1221.55,1267.95,1254,832732,1.04E+14,181619,0.2181,1
27-12-2004,1267.95,1270,1285,1262.2,1270.55,1277.19,550063,7.03E+13,159107,0.2893,1
28-12-2004,1270.55,1272,1314,1266.2,1309.35,1297.48,1201806,1.56E+14,375922,0.3128,1
29-12-2004,1309.35,1316.95,1336.9,1313.15,1320.25,1324.24,829153,1.10E+14,229733,0.2771,1
30-12-2004,1320.25,1318,1328,1291.85,1296.65,1306.77,703349,9.19E+13,221223,0.3145,1
31-12-2004,1296.65,1300,1338.8,1296.65,1335.45,1322.87,612414,8.10E+13,119107,0.1945,1
03-01-2005,1335.45,1335.45,1356.7,1335.45,1353.25,1346.52,591771,7.97E+13,195501,0.3304,1
04-01-2005,1353.25,1350,1354,1333.15,1341.25,1344.04,622388,8.37E+13,205694,0.3305,1
05-01-2005,1341.25,1340.2,1340.2,1280.3,1325,1313.06,1200540,1.58E+14,313279,0.2609,1
06-01-2005,1325,1320,1346,1292.5,1320.45,1320.02,1000861,1.32E+14,215698,0.2155,1
07-01-2005,1320.45,1330,1345,1312.65,1339.95,1333.76,952892,1.27E+14,311075,0.3265,1
10-01-2005,1339.95,1348.65,1359.4,1322,1327.45,1343.71,940196,1.26E+14,335550,0.3569,1
11-01-2005,1327.45,1330,1335.3,1301,1313.75,1323.26,998297,1.32E+14,239484,0.2399,1
12-01-2005,1313.75,1325.95,1367.95,1286.7,1298.05,1328.27,2590004,3.44E+14,470380,0.1816,1
13-01-2005,1298.05,1310,1338.7,1275,1292.9,1305.66,3469744,4.53E+14,648775,0.187,1
14-01-2005,1292.9,1304.7,1317.9,1277,1296.4,1298.62,1969722,2.56E+14,663696,0.3369,1
17-01-2005,1296.4,1309.6,1309.6,1240.2,1263.25,1259.98,1706398,2.15E+14,411299,0.241,1
18-01-2005,1263.25,1274.7,1284,1257.5,1263.85,1270.11,772908,9.82E+13,175213,0.2267,1
19-01-2005,1263.85,1266,1273.7,1251.1,1255.4,1263.91,442311,5.59E+13,95150,0.2151,1
20-01-2005,1255.4,1255,1255,1230,1243.7,1240.26,567025,7.03E+13,140350,0.2475,1
24-01-2005,1243.7,1243.7,1247.35,1215.35,1220.65,1227.82,453524,5.57E+13,142151,0.3134,1
25-01-2005,1220.65,1214.8,1239.9,1207.1,1235.45,1223.06,558241,6.83E+13,121967,0.2185,1
27-01-2005,1235.45,1243.25,1253.8,1235.3,1240.55,1246.27,681918,8.50E+13,257169,0.3771,1
28-01-2005,1240.55,1242.85,1294.8,1242.5,1289.2,1273.36,1049227,1.34E+14,452148,0.4309,1
31-01-2005,1289.2,1298,1311.8,1290.25,1300.4,1304.34,731673,9.54E+13,308584,0.4218,1
01-02-2005,1300.4,1307,1320,1287,1315.25,1307.97,1002480,1.31E+14,372030,0.3711,2
02-02-2005,1315.25,1319,1323.45,1303,1308.95,1316.46,608807,8.01E+13,240876,0.3957,2
03-02-2005,1308.95,1312,1314.75,1302,1311.1,1309.38,415952,5.45E+13,141125,0.3393,2
04-02-2005,1311.1,1310,1322,1300.55,1306.45,1309.98,335505,4.40E+13,78940,0.2353,2
07-02-2005,1306.45,1312.6,1330.7,1301,1313.75,1317.92,743027,9.79E+13,174411,0.2347,2
08-02-2005,1313.75,1313.75,1323,1308,1316,1315.1,410554,5.40E+13,150358,0.3662,2
09-02-2005,1316,1321,1343.6,1320.75,1332.8,1334.01,692242,9.23E+13,213491,0.3084,2
10-02-2005,1332.8,1330,1343.5,1323,1332.65,1333.81,547081,7.30E+13,197477,0.361,2
11-02-2005,1332.65,1338,1387,1338,1381.75,1367.31,1295887,1.77E+14,573748,0.4427,2
14-02-2005,1381.75,1391.05,1418,1391.05,1409.65,1406.27,1109408,1.56E+14,667999,0.6021,2
15-02-2005,1409.65,1410,1415,1374,1381.35,1384.59,497090,6.88E+13,139890,0.2814,2
16-02-2005,1381.35,1399,1399,1361,1368.15,1383.3,390854,5.41E+13,101245,0.259,2
17-02-2005,1368.15,1368.15,1386,1350.6,1381.85,1372.25,515622,7.08E+13,139799,0.2711,2
18-02-2005,1381.85,1380,1392,1355,1375,1380.82,318143,4.39E+13,68377,0.2149,2
21-02-2005,1375,1371,1375.8,1345.1,1365.55,1367.69,222144,3.04E+13,50358,0.2267,2
22-02-2005,1365.55,1364.7,1369.95,1351,1363.45,1360.6,267380,3.64E+13,56167,0.2101,2
23-02-2005,1363.45,1363.45,1382.1,1355.15,1374.95,1371.7,645852,8.86E+13,320230,0.4958,2
24-02-2005,1374.95,1374.95,1395.9,1361.2,1367.95,1374.79,1350805,1.86E+14,772996,0.5722,2
25-02-2005,1367.95,1376.8,1379,1353.15,1364.05,1364.79,633862,8.65E+13,260609,0.4111,2
28-02-2005,1364.05,1379,1385,1340,1380.9,1362.18,800301,1.09E+14,241991,0.3024,2
01-03-2005,1380.9,1381,1440,1351,1357.45,1359.35,619769,8.42E+13,217592,0.3511,2
02-03-2005,1357.45,1375,1375,1361.6,1368,1366.19,332264,4.54E+13,150808,0.4539,2
03-03-2005,1368,1370,1395,1364,1389.55,1378.18,361395,4.98E+13,149417,0.4134,2
04-03-2005,1389.55,1394,1403.5,1382,1392.25,1392.87,502234,7.00E+13,161459,0.3215,2
07-03-2005,1392.25,1395,1408,1394,1400.2,1401.41,457254,6.41E+13,193863,0.424,2
08-03-2005,1400.2,1404,1420.9,1395.35,1413.95,1411.93,628460,8.87E+13,270502,0.4304,2
09-03-2005,1413.95,1409,1426.5,1395.05,1407.5,1412.43,677761,9.57E+13,271437,0.4005,2
10-03-2005,1407.5,1410,1410,1390.25,1399.55,1401.27,287785,4.03E+13,110234,0.383,2
11-03-2005,1399.55,1406,1434.9,1405,1427.45,1420.57,650718,9.24E+13,232164,0.3568,2
14-03-2005,1427.45,1428,1460,1420,1451.85,1441.52,816754,1.18E+14,291638,0.3571,2
15-03-2005,1451.85,1451,1462,1430,1442.65,1446.18,518310,7.50E+13,196587,0.3793,2
16-03-2005,1442.65,1440,1467.6,1440,1452.05,1456.13,684177,9.96E+13,298003,0.4356,2
17-03-2005,1452.05,1448,1473.7,1440,1460.95,1460.58,850666,1.24E+14,389900,0.4583,2
18-03-2005,1460.95,1459,1472.5,1425,1468.7,1454.74,765433,1.11E+14,247923,0.3239,2
21-03-2005,1468.7,1470.15,1475,1444.6,1456.45,1460.03,544265,7.95E+13,225338,0.414,2
22-03-2005,1456.45,1454.8,1457.1,1440.1,1443.55,1447.26,335554,4.86E+13,119190,0.3552,2
23-03-2005,1443.55,1440,1448,1413.35,1421.25,1431.93,429927,6.16E+13,131658,0.3062,2
24-03-2005,1421.25,1430,1438,1377.65,1384.35,1391.73,744322,1.04E+14,287040,0.3856,2
28-03-2005,1384.35,1391,1408.85,1384,1392.4,1398.09,462466,6.47E+13,232950,0.5037,2
29-03-2005,1392.4,1395,1398,1362.2,1370.9,1379.49,381675,5.27E+13,147479,0.3864,2
30-03-2005,1370.9,1371.1,1400,1360,1390.55,1379.08,514407,7.09E+13,246712,0.4796,2
31-03-2005,1390.55,1404.5,1445.1,1397.25,1432.05,1422.85,864330,1.23E+14,567100,0.6561,2
01-04-2005,1432.05,1433,1457,1414,1450.95,1436.46,695334,9.99E+13,289200,0.4159,2
04-04-2005,1450.95,1452,1456.8,1423.3,1427.75,1438.24,657170,9.45E+13,303305,0.4615,2
05-04-2005,1427.75,1429,1442.5,1416.1,1425.45,1430.56,420979,6.02E+13,81750,0.1942,2
06-04-2005,1425.45,1427,1448,1427,1441.35,1437.23,244176,3.51E+13,50920,0.2085,2
07-04-2005,1441.35,1441,1450,1422,1425.2,1434.75,310402,4.45E+13,108737,0.3503,2
08-04-2005,1425.2,1430.7,1434.9,1390.05,1393.55,1405.2,506535,7.12E+13,137652,0.2718,2
11-04-2005,1393.55,1397,1400,1360.1,1363.6,1369.94,352874,4.83E+13,119147,0.3376,2
12-04-2005,1363.6,1399,1399,1365,1382,1378.51,514087,7.09E+13,163445,0.3179,2
13-04-2005,1382,1394,1407,1385.55,1401.6,1395.83,579825,8.09E+13,274957,0.4742,2
15-04-2005,1401.6,1395,1395,1315,1319,1329.71,1232810,1.64E+14,615312,0.4991,2
18-04-2005,1319,1300,1348.7,1291,1318.65,1331.1,753038,1.00E+14,189913,0.2522,2
19-04-2005,1318.65,1330,1348.9,1178.1,1208.7,1255.71,3404394,4.27E+14,824511,0.2422,2
20-04-2005,1208.7,1200,1200,1093.3,1116.2,1120.02,5937282,6.65E+14,2031013,0.3421,2
21-04-2005,1116.2,1125,1148,1110,1142.4,1134.84,1656542,1.88E+14,478730,0.289,2
22-04-2005,1142.4,1160,1171.65,1140.25,1166.75,1159.5,1619834,1.88E+14,683868,0.4222,2
25-04-2005,1166.75,1164.8,1167.9,1148,1156.95,1156.74,860073,9.95E+13,367823,0.4277,2
26-04-2005,1156.95,1157,1163.8,1134.1,1136.7,1145.97,692375,7.93E+13,276178,0.3989,2
27-04-2005,1136.7,1141.1,1141.1,1111,1115.65,1119.94,817171,9.15E+13,330331,0.4042,2
28-04-2005,1115.65,1115.1,1130,1097.15,1114.8,1108.75,1091109,1.21E+14,342130,0.3136,2
29-04-2005,1114.8,1128.8,1144.7,1117.05,1131.1,1132.27,1383213,1.57E+14,410982,0.2971,2
02-05-2005,1131.1,1150,1178,1118.1,1128.9,1126.97,641200,7.23E+13,158413,0.2471,2
03-05-2005,1128.9,1130,1135,1105.35,1108.6,1116.35,687881,7.68E+13,225897,0.3284,2
04-05-2005,1108.6,1106.5,1124.5,1106.5,1120.85,1118.55,599018,6.70E+13,195205,0.3259,2
05-05-2005,1120.85,1149.95,1150,1125.55,1136.85,1141.11,811883,9.26E+13,391998,0.4828,2
06-05-2005,1136.85,1140,1171.7,1132.15,1167.5,1155.54,1023583,1.18E+14,419098,0.4094,2
09-05-2005,1167.5,1170,1182.25,1166.25,1175.25,1175.65,592380,6.96E+13,211326,0.3567,2
10-05-2005,1175.25,1178,1178,1146.25,1152.5,1157.92,884494,1.02E+14,414463,0.4686,2
11-05-2005,1152.5,1148,1152.6,1137.95,1149.1,1145.51,401661,4.60E+13,119686,0.298,2
12-05-2005,1149.1,1159,1161.7,1143.15,1146.75,1151.23,451118,5.19E+13,144198,0.3196,2
13-05-2005,1146.75,1149,1151,1140.15,1148.6,1148.05,298594,3.43E+13,120236,0.4027,2
16-05-2005,1148.6,1145,1158.9,1142.25,1154.3,1150.15,721900,8.30E+13,373746,0.5177,2
17-05-2005,1154.3,1161.1,1164.7,1144.4,1150.55,1157.2,583322,6.75E+13,272964,0.4679,2
18-05-2005,1150.55,1154,1154,1123,1142.7,1139.09,573528,6.53E+13,239623,0.4178,2
19-05-2005,1142.7,1153.45,1172,1153.2,1162.5,1160.78,457431,5.31E+13,150723,0.3295,2
20-05-2005,1162.5,1165,1174.7,1147.2,1169.65,1160.98,408202,4.74E+13,172696,0.4231,2
23-05-2005,1169.65,1170,1234.9,1170,1223.8,1204.82,1295252,1.56E+14,549607,0.4243,2
24-05-2005,1223.8,1244.7,1244.7,1205.25,1234.85,1223.68,766107,9.37E+13,262773,0.343,2
25-05-2005,1234.85,1229.7,1269.4,1215,1260.55,1248.17,986809,1.23E+14,370824,0.3758,2
26-05-2005,1260.55,1258,1296,1251.15,1290.05,1275.41,1222762,1.56E+14,322653,0.2639,2
27-05-2005,1290.05,1283,1299,1255.25,1269.2,1284.95,920435,1.18E+14,365714,0.3973,2
30-05-2005,1269.2,1269.2,1333.05,1264,1319.1,1317.87,2236648,2.95E+14,926148,0.4141,2
31-05-2005,1319.1,1320,1342.9,1305.55,1334.25,1325.25,1295696,1.72E+14,449606,0.347,2
01-06-2005,1334.25,1330,1330,1297.55,1304.5,1309.18,941261,1.23E+14,241286,0.2563,2
02-06-2005,1304.5,1308,1309,1265.1,1268.55,1280.27,1384578,1.77E+14,566322,0.409,2
03-06-2005,1268.55,1268.55,1296.7,1261.05,1293.15,1283.99,818566,1.05E+14,220919,0.2699,2
04-06-2005,1293.15,1290,1293.85,1278,1281.6,1285.06,169770,2.18E+13,22826,0.1345,2
06-06-2005,1281.6,1295,1301.7,1270.3,1280.4,1289.33,724064,9.34E+13,211420,0.292,2
07-06-2005,1280.4,1288.8,1288.8,1269.05,1277.65,1278.24,462274,5.91E+13,109678,0.2373,2
08-06-2005,1277.65,1280,1296,1276.1,1292.1,1287.27,604064,7.78E+13,194977,0.3228,2
09-06-2005,1292.1,1294,1299,1271.35,1277.3,1284.4,449792,5.78E+13,156367,0.3476,2
10-06-2005,1277.3,1280,1300,1261.1,1266.15,1281.22,830328,1.06E+14,269933,0.3251,2
13-06-2005,1266.15,1275,1283,1260.2,1271.65,1270.7,323754,4.11E+13,51885,0.1603,2
14-06-2005,1271.65,1277,1279.9,1260.2,1266.05,1267.17,431548,5.47E+13,125217,0.2902,2
15-06-2005,1266.05,1269.75,1277.9,1266.3,1272.15,1272.54,348884,4.44E+13,131661,0.3774,2
16-06-2005,1272.15,1277.8,1287.9,1264.85,1277.7,1277.02,574194,7.33E+13,194174,0.3382,2
17-06-2005,1277.7,1282.7,1286.45,1263.1,1267.65,1274.75,383499,4.89E+13,101309,0.2642,2
20-06-2005,1267.65,1275,1301.95,1270.3,1295.9,1289.67,801584,1.03E+14,432517,0.5396,2
