Date,Prev_Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable_Volume,Perc_Deliverable
02-09-2008,745.7,750,762.9,730,759.15,751.64,119235,8.96E+12,67679,0.5676
04-09-2008,759.15,751,781,750.05,773.85,772.61,79654,6.15E+12,27710,0.3479
05-09-2008,773.85,768,770,754,757.7,763.36,31155,2.38E+12,10723,0.3442
08-09-2008,757.7,790,800,770.15,774.2,778.4,63495,4.94E+12,33969,0.535
09-09-2008,774.2,770,809.8,760,794.5,797.13,295556,2.36E+13,69667,0.2357
10-09-2008,794.5,790,822.25,790,798.15,810.37,272167,2.21E+13,53283,0.1958
11-09-2008,798.15,818.9,825,772.1,778.45,794.54,92281,7.33E+12,16525,0.1791
12-09-2008,778.45,808,808,756.3,759.25,766.43,48340,3.70E+12,10991,0.2274
15-09-2008,759.25,740.05,750,715,717.9,723.28,55927,4.05E+12,21323,0.3813
16-09-2008,717.9,710,710,656.1,692.25,692.84,63743,4.42E+12,38485,0.6038
17-09-2008,692.25,700,700,660,667.75,688.71,103202,7.11E+12,69089,0.6695
18-09-2008,667.75,636,655,565.25,633.85,625.75,124403,7.78E+12,66669,0.5359
19-09-2008,633.85,665,688,656,675.05,672.08,68287,4.59E+12,39942,0.5849
22-09-2008,675.05,682,688.95,653,656.2,669.64,25883,1.73E+12,12001,0.4637
23-09-2008,656.2,645,652,630,638.5,643.4,27120,1.74E+12,10984,0.405
24-09-2008,638.5,666.8,669,639,650.25,647.09,40744,2.64E+12,18664,0.4581
25-09-2008,650.25,670,670,635.4,639.95,641.34,62799,4.03E+12,38110,0.6069
26-09-2008,639.95,630,645.7,620.15,625.15,628.49,44826,2.82E+12,24141,0.5385
29-09-2008,625.15,601.35,630,601.35,609.85,613.12,59113,3.62E+12,34318,0.5805
30-09-2008,609.85,601.5,625.4,565.1,619.2,610.24,136060,8.30E+12,79332,0.5831
01-10-2008,619.2,625,639.4,622.05,634.95,632.21,73167,4.63E+12,38145,0.5213
03-10-2008,634.95,629.8,630,612.05,623.75,621.49,41592,2.58E+12,18639,0.4481
06-10-2008,623.75,615,615,571.1,577.95,598.46,109901,6.58E+12,77821,0.7081
07-10-2008,577.95,583,598.8,505.1,511.65,551.51,123105,6.79E+12,71350,0.5796
08-10-2008,511.65,481.1,499.95,454.1,464.5,467.8,73945,3.46E+12,41690,0.5638
10-10-2008,464.5,449.8,449.8,387.5,396,412.04,80852,3.33E+12,34356,0.4249
13-10-2008,396,400,429,400,423.6,421.22,44125,1.86E+12,17628,0.3995
14-10-2008,423.6,462.3,489,435,435.2,441.99,66389,2.93E+12,28225,0.4251
15-10-2008,435.2,421.1,422.5,380,384.6,394.62,77285,3.05E+12,30624,0.3962
16-10-2008,384.6,370,375.8,344,362.25,365.71,75407,2.76E+12,31417,0.4166
17-10-2008,362.25,393.8,393.8,333.35,343.5,363.03,81325,2.95E+12,36649,0.4506
20-10-2008,343.5,346,381,346,367.5,364.94,60420,2.20E+12,24889,0.4119
21-10-2008,367.5,394.9,418.75,373,413.3,402.55,87763,3.53E+12,34760,0.3961
22-10-2008,413.3,410,448.7,405.2,418.65,434.89,271943,1.18E+13,66180,0.2434
23-10-2008,418.65,408,408,366.1,375.4,389.89,141364,5.51E+12,53063,0.3754
24-10-2008,375.4,369.05,389,320,337.5,364.48,188737,6.88E+12,98917,0.5241
27-10-2008,337.5,334.5,350,298.1,312.6,313.12,79276,2.48E+12,45267,0.571
28-10-2008,312.6,340,350,320,344.3,342.03,28403,9.71E+11,9999,0.352
29-10-2008,344.3,351,370,298.95,310.35,329.98,154410,5.10E+12,92799,0.601
31-10-2008,310.35,320,339.9,311.7,330,322.6,334745,1.08E+13,235430,0.7033
03-11-2008,330,354.2,354.9,327.1,334.95,335.22,132782,4.45E+12,59243,0.4462
04-11-2008,334.95,339,341,320,323.45,325.56,167564,5.46E+12,65690,0.392
05-11-2008,323.45,330,347,327,338.85,338.95,235155,7.97E+12,120360,0.5118
06-11-2008,338.85,327,338.85,322,330.65,330.66,54542,1.80E+12,14353,0.2632
07-11-2008,330.65,330,330,318,325.4,323.62,113904,3.69E+12,48783,0.4283
10-11-2008,325.4,330,339,326,334.85,332.2,103313,3.43E+12,51431,0.4978
11-11-2008,334.85,330,335.05,317.35,319.8,324.67,68481,2.22E+12,25130,0.367
12-11-2008,319.8,317,324.25,310.3,313.15,316.69,58798,1.86E+12,21652,0.3682
14-11-2008,313.15,318,323,294.1,298,300.78,140460,4.22E+12,64476,0.459
17-11-2008,298,300,300,285,292.9,293.14,131184,3.85E+12,63273,0.4823
18-11-2008,292.9,292,293,276.2,280.55,282.94,46732,1.32E+12,22717,0.4861
19-11-2008,280.55,282,287,251.25,255.95,268.15,119889,3.21E+12,56492,0.4712
20-11-2008,255.95,255,255,239.1,244.05,241.5,195581,4.72E+12,141248,0.7222
21-11-2008,244.05,242.9,258,236,246.3,246.79,109910,2.71E+12,38783,0.3529
24-11-2008,246.3,249,254.9,230.05,232.6,241.92,97606,2.36E+12,43586,0.4466
25-11-2008,232.6,239.95,247.9,222,226.35,235.68,115280,2.72E+12,62833,0.545
26-11-2008,226.35,229.1,230,216.65,223.3,222.15,142800,3.17E+12,77160,0.5403
28-11-2008,223.3,220,233,218.1,225.6,226.42,148467,3.36E+12,73359,0.4941
01-12-2008,225.6,225,239,225,229.05,233.9,132671,3.10E+12,63744,0.4805
02-12-2008,229.05,223,234.8,220,231.6,226.55,61863,1.40E+12,24472,0.3956
03-12-2008,231.6,230,249,229.05,246.75,237.1,151799,3.60E+12,76154,0.5017
04-12-2008,246.75,249.2,259,249,256.75,254.04,119839,3.04E+12,45255,0.3776
05-12-2008,256.75,259,265,249.2,252,257.05,66776,1.72E+12,12953,0.194
08-12-2008,252,264.75,264.75,248.05,251.3,252.93,57430,1.45E+12,30956,0.539
10-12-2008,251.3,250,264.5,250,262.2,256.17,82544,2.11E+12,35526,0.4304
11-12-2008,262.2,264,267.95,251.05,254.05,258.99,57806,1.50E+12,18445,0.3191
12-12-2008,254.05,250,262.45,247.5,260.95,258.37,78705,2.03E+12,20298,0.2579
15-12-2008,260.95,255,266.95,255,262.7,264,46288,1.22E+12,23045,0.4979
16-12-2008,262.7,257.5,282.4,257.5,274.65,275.89,116050,3.20E+12,32899,0.2835
17-12-2008,274.65,280.1,289.8,260.1,265.25,281.02,193149,5.43E+12,53430,0.2766
